epoch,step,batches,lr,ms/batch,loss,avg_loss,ppl
1,100,100,4e-05,368.78,4.99,5.69,296.07
1,200,200,8e-05,366.71,3.04,3.82,45.79
1,300,300,0.00012,368.25,2.95,3.14,23.17
1,400,400,0.00016,369.03,2.94,3.02,20.49
1,500,500,0.0002,369.09,2.95,2.95,19.17
1,600,600,0.000196,368.42,3.29,2.87,17.72
1,700,700,0.000191,369.46,3.25,2.85,17.27
1,800,800,0.000187,369.31,2.84,2.84,17.06
1,900,900,0.000182,368.97,2.93,2.81,16.67
1,1000,1000,0.000178,369.30,2.71,2.82,16.85
2,1100,100,0.000173,369.28,2.67,2.76,15.76
2,1200,200,0.000169,369.39,2.72,2.78,16.11
2,1300,300,0.000164,369.33,2.78,2.73,15.26
2,1400,400,0.00016,368.88,3.24,2.75,15.63
2,1500,500,0.000156,368.75,2.73,2.74,15.42
2,1600,600,0.000151,369.09,2.80,2.75,15.65
2,1700,700,0.000147,368.91,2.40,2.71,15.10
2,1800,800,0.000142,368.83,3.21,2.68,14.60
2,1900,900,0.000138,368.75,2.35,2.75,15.60
2,2000,1000,0.000133,368.58,2.42,2.71,15.02
3,2100,100,0.000129,368.79,2.74,2.64,14.02
3,2200,200,0.000124,368.61,2.77,2.68,14.59
3,2300,300,0.00012,368.91,2.53,2.66,14.37
3,2400,400,0.000116,368.74,3.01,2.67,14.49
3,2500,500,0.000111,369.24,2.50,2.67,14.44
3,2600,600,0.000107,369.03,2.41,2.66,14.36
3,2700,700,0.000102,368.63,2.42,2.66,14.27
3,2800,800,9.78e-05,369.57,3.32,2.68,14.65
3,2900,900,9.33e-05,368.95,2.49,2.67,14.43
3,3000,1000,8.89e-05,368.86,2.56,2.67,14.43
4,3100,100,8.44e-05,368.80,2.71,2.62,13.74
4,3200,200,8e-05,368.61,2.50,2.61,13.62
4,3300,300,7.56e-05,367.95,3.06,2.65,14.17
4,3400,400,7.11e-05,369.06,2.50,2.61,13.65
4,3500,500,6.67e-05,368.77,2.97,2.60,13.47
4,3600,600,6.22e-05,368.09,2.17,2.66,14.37
4,3700,700,5.78e-05,368.03,2.58,2.62,13.67
4,3800,800,5.33e-05,368.43,2.70,2.63,13.82
4,3900,900,4.89e-05,367.84,2.33,2.60,13.53
4,4000,1000,4.44e-05,368.56,2.64,2.64,13.95
5,4100,100,4e-05,368.90,2.51,2.63,13.82
5,4200,200,3.56e-05,368.84,2.13,2.59,13.38
5,4300,300,3.11e-05,368.38,2.47,2.58,13.18
5,4400,400,2.67e-05,368.55,2.68,2.60,13.41
5,4500,500,2.22e-05,369.96,2.78,2.61,13.59
5,4600,600,1.78e-05,369.51,2.61,2.62,13.72
5,4700,700,1.33e-05,368.90,2.40,2.56,12.89
5,4800,800,8.89e-06,369.85,2.24,2.56,12.95
5,4900,900,4.44e-06,369.29,2.44,2.61,13.57
5,5000,1000,0,369.26,2.59,2.59,13.27
