epoch,step,batches,lr,ms/batch,loss,avg_loss,ppl
1,100,100,4e-05,547.56,4.66,5.14,170.25
1,200,200,8e-05,543.87,2.80,3.56,35.22
1,300,300,0.00012,541.14,2.39,2.78,16.15
1,400,400,0.00016,543.37,2.58,2.44,11.49
1,500,500,0.0002,544.84,2.26,2.30,9.98
2,600,100,0.00019,540.39,2.46,2.29,9.89
2,700,200,0.00018,542.51,1.93,2.26,9.54
2,800,300,0.00017,541.57,2.02,2.29,9.92
2,900,400,0.00016,541.91,2.34,2.20,9.01
2,1000,500,0.00015,542.56,2.13,2.12,8.34
3,1100,100,0.00014,539.28,2.17,2.09,8.09
3,1200,200,0.00013,541.72,1.86,2.10,8.14
3,1300,300,0.00012,542.39,1.93,2.16,8.65
3,1400,400,0.00011,542.30,2.26,2.10,8.18
3,1500,500,0.0001,545.44,2.06,2.04,7.71
4,1600,100,9e-05,542.04,2.05,2.02,7.51
4,1700,200,8e-05,545.74,1.83,2.03,7.58
4,1800,300,7e-05,544.17,1.88,2.08,8.02
4,1900,400,6e-05,544.13,2.21,2.05,7.75
4,2000,500,5e-05,543.46,2.06,2.00,7.37
5,2100,100,4e-05,541.14,1.98,1.97,7.17
5,2200,200,3e-05,542.83,1.83,1.99,7.28
5,2300,300,2e-05,543.36,1.88,2.04,7.68
5,2400,400,1e-05,543.75,2.19,2.01,7.47
5,2500,500,0,542.94,2.09,1.98,7.23
